event_id,rank,compute_type,start_time_ms,end_time_ms,duration_ms,layer_id,flop_count,tflops,memory_accessed_bytes,pipeline_stage,dp_group,tp_rank
fwd_l6_r49,49,forward,20.255667733219898,23.408567872104186,3.152900138884286,6,412316860416,0.412316860416,335544320,0,3,1
fwd_l6_r50,50,forward,20.255667733219898,23.408567872104186,3.152900138884286,6,412316860416,0.412316860416,335544320,0,3,2
fwd_l6_r51,51,forward,20.255667733219898,23.408567872104186,3.152900138884286,6,412316860416,0.412316860416,335544320,0,3,3
fwd_l7_r48,48,forward,23.408567872104186,26.63157640507824,3.2230085329740534,7,412316860416,0.412316860416,335544320,0,3,0
fwd_l7_r49,49,forward,23.408567872104186,26.63157640507824,3.2230085329740534,7,412316860416,0.412316860416,335544320,0,3,1
fwd_l7_r50,50,forward,23.408567872104186,26.63157640507824,3.2230085329740534,7,412316860416,0.412316860416,335544320,0,3,2
fwd_l7_r51,51,forward,23.408567872104186,26.63157640507824,3.2230085329740534,7,412316860416,0.412316860416,335544320,0,3,3
fwd_l8_r4,4,forward,27.91108715990016,31.33270474409916,3.421617584199,8,412316860416,0.412316860416,335544320,1,0,0
fwd_l8_r5,5,forward,27.91108715990016,31.33270474409916,3.421617584199,8,412316860416,0.412316860416,335544320,1,0,1
fwd_l8_r6,6,forward,27.91108715990016,31.33270474409916,3.421617584199,8,412316860416,0.412316860416,335544320,1,0,2
fwd_l8_r7,7,forward,27.91108715990016,31.33270474409916,3.421617584199,8,412316860416,0.412316860416,335544320,1,0,3
fwd_l9_r4,4,forward,31.33270474409916,34.55803477390818,3.225330029809022,9,412316860416,0.412316860416,335544320,1,0,0
fwd_l9_r5,5,forward,31.33270474409916,34.55803477390818,3.225330029809022,9,412316860416,0.412316860416,335544320,1,0,1
fwd_l9_r6,6,forward,31.33270474409916,34.55803477390818,3.225330029809022,9,412316860416,0.412316860416,335544320,1,0,2
fwd_l9_r7,7,forward,31.33270474409916,34.55803477390818,3.225330029809022,9,412316860416,0.412316860416,335544320,1,0,3
fwd_l10_r4,4,forward,34.55803477390818,38.018808498536096,3.4607737246279138,10,412316860416,0.412316860416,335544320,1,0,0
fwd_l10_r5,5,forward,34.55803477390818,38.018808498536096,3.4607737246279138,10,412316860416,0.412316860416,335544320,1,0,1
fwd_l10_r6,6,forward,34.55803477390818,38.018808498536096,3.4607737246279138,10,412316860416,0.412316860416,335544320,1,0,2
fwd_l10_r7,7,forward,34.55803477390818,38.018808498536096,3.4607737246279138,10,412316860416,0.412316860416,335544320,1,0,3
fwd_l11_r4,4,forward,38.018808498536096,41.26365809618111,3.244849597645018,11,412316860416,0.412316860416,335544320,1,0,0
fwd_l11_r5,5,forward,38.018808498536096,41.26365809618111,3.244849597645018,11,412316860416,0.412316860416,335544320,1,0,1
fwd_l11_r6,6,forward,38.018808498536096,41.26365809618111,3.244849597645018,11,412316860416,0.412316860416,335544320,1,0,2
fwd_l11_r7,7,forward,38.018808498536096,41.26365809618111,3.244849597645018,11,412316860416,0.412316860416,335544320,1,0,3
fwd_l12_r4,4,forward,41.26365809618111,44.72697505197817,3.4633169557970604,12,412316860416,0.412316860416,335544320,1,0,0
fwd_l12_r5,5,forward,41.26365809618111,44.72697505197817,3.4633169557970604,12,412316860416,0.412316860416,335544320,1,0,1
fwd_l12_r6,6,forward,41.26365809618111,44.72697505197817,3.4633169557970604,12,412316860416,0.412316860416,335544320,1,0,2
fwd_l12_r7,7,forward,41.26365809618111,44.72697505197817,3.4633169557970604,12,412316860416,0.412316860416,335544320,1,0,3
fwd_l13_r4,4,forward,44.72697505197817,48.0590534325489,3.332078380570723,13,412316860416,0.412316860416,335544320,1,0,0
fwd_l13_r5,5,forward,44.72697505197817,48.0590534325489,3.332078380570723,13,412316860416,0.412316860416,335544320,1,0,1
fwd_l13_r6,6,forward,44.72697505197817,48.0590534325489,3.332078380570723,13,412316860416,0.412316860416,335544320,1,0,2
fwd_l13_r7,7,forward,44.72697505197817,48.0590534325489,3.332078380570723,13,412316860416,0.412316860416,335544320,1,0,3
fwd_l14_r4,4,forward,48.0590534325489,51.46047752110143,3.4014240885525333,14,412316860416,0.412316860416,335544320,1,0,0
fwd_l14_r5,5,forward,48.0590534325489,51.46047752110143,3.4014240885525333,14,412316860416,0.412316860416,335544320,1,0,1
fwd_l14_r6,6,forward,48.0590534325489,51.46047752110143,3.4014240885525333,14,412316860416,0.412316860416,335544320,1,0,2
fwd_l14_r7,7,forward,48.0590534325489,51.46047752110143,3.4014240885525333,14,412316860416,0.412316860416,335544320,1,0,3
fwd_l15_r4,4,forward,51.46047752110143,54.68182053439365,3.221343013292223,15,412316860416,0.412316860416,335544320,1,0,0
fwd_l15_r5,5,forward,51.46047752110143,54.68182053439365,3.221343013292223,15,412316860416,0.412316860416,335544320,1,0,1
fwd_l15_r6,6,forward,51.46047752110143,54.68182053439365,3.221343013292223,15,412316860416,0.412316860416,335544320,1,0,2
fwd_l15_r7,7,forward,51.46047752110143,54.68182053439365,3.221343013292223,15,412316860416,0.412316860416,335544320,1,0,3
fwd_l8_r20,20,forward,27.91108715990016,31.331458105486874,3.4203709455867157,8,412316860416,0.412316860416,335544320,1,1,0
fwd_l8_r21,21,forward,27.91108715990016,31.331458105486874,3.4203709455867157,8,412316860416,0.412316860416,335544320,1,1,1
fwd_l8_r22,22,forward,27.91108715990016,31.331458105486874,3.4203709455867157,8,412316860416,0.412316860416,335544320,1,1,2
fwd_l8_r23,23,forward,27.91108715990016,31.331458105486874,3.4203709455867157,8,412316860416,0.412316860416,335544320,1,1,3
fwd_l9_r20,20,forward,31.331458105486874,34.77984502761342,3.4483869221265464,9,412316860416,0.412316860416,335544320,1,1,0
fwd_l9_r21,21,forward,31.331458105486874,34.77984502761342,3.4483869221265464,9,412316860416,0.412316860416,335544320,1,1,1
fwd_l9_r22,22,forward,31.331458105486874,34.77984502761342,3.4483869221265464,9,412316860416,0.412316860416,335544320,1,1,2
fwd_l9_r23,23,forward,31.331458105486874,34.77984502761342,3.4483869221265464,9,412316860416,0.412316860416,335544320,1,1,3
fwd_l10_r20,20,forward,34.77984502761342,38.20679970565206,3.4269546780386353,10,412316860416,0.412316860416,335544320,1,1,0
fwd_l10_r21,21,forward,34.77984502761342,38.20679970565206,3.4269546780386353,10,412316860416,0.412316860416,335544320,1,1,1
fwd_l10_r22,22,forward,34.77984502761342,38.20679970565206,3.4269546780386353,10,412316860416,0.412316860416,335544320,1,1,2
fwd_l10_r23,23,forward,34.77984502761342,38.20679970565206,3.4269546780386353,10,412316860416,0.412316860416,335544320,1,1,3
fwd_l11_r20,20,forward,38.20679970565206,41.57561155954138,3.3688118538893197,11,412316860416,0.412316860416,335544320,1,1,0
fwd_l11_r21,21,forward,38.20679970565206,41.57561155954138,3.3688118538893197,11,412316860416,0.412316860416,335544320,1,1,1
fwd_l11_r22,22,forward,38.20679970565206,41.57561155954138,3.3688118538893197,11,412316860416,0.412316860416,335544320,1,1,2
fwd_l11_r23,23,forward,38.20679970565206,41.57561155954138,3.3688118538893197,11,412316860416,0.412316860416,335544320,1,1,3
fwd_l12_r20,20,forward,41.57561155954138,44.74520042758738,3.169588868045997,12,412316860416,0.412316860416,335544320,1,1,0
fwd_l12_r21,21,forward,41.57561155954138,44.74520042758738,3.169588868045997,12,412316860416,0.412316860416,335544320,1,1,1
fwd_l12_r22,22,forward,41.57561155954138,44.74520042758738,3.169588868045997,12,412316860416,0.412316860416,335544320,1,1,2
fwd_l12_r23,23,forward,41.57561155954138,44.74520042758738,3.169588868045997,12,412316860416,0.412316860416,335544320,1,1,3
fwd_l13_r20,20,forward,44.74520042758738,48.07713917659419,3.3319387490068144,13,412316860416,0.412316860416,335544320,1,1,0
fwd_l13_r21,21,forward,44.74520042758738,48.07713917659419,3.3319387490068144,13,412316860416,0.412316860416,335544320,1,1,1
fwd_l13_r22,22,forward,44.74520042758738,48.07713917659419,3.3319387490068144,13,412316860416,0.412316860416,335544320,1,1,2
fwd_l13_r23,23,forward,44.74520042758738,48.07713917659419,3.3319387490068144,13,412316860416,0.412316860416,335544320,1,1,3
fwd_l14_r20,20,forward,48.07713917659419,51.51026677020997,3.433127593615776,14,412316860416,0.412316860416,335544320,1,1,0
fwd_l14_r21,21,forward,48.07713917659419,51.51026677020997,3.433127593615776,14,412316860416,0.412316860416,335544320,1,1,1
fwd_l14_r22,22,forward,48.07713917659419,51.51026677020997,3.433127593615776,14,412316860416,0.412316860416,335544320,1,1,2
fwd_l14_r23,23,forward,48.07713917659419,51.51026677020997,3.433127593615776,14,412316860416,0.412316860416,335544320,1,1,3
fwd_l15_r20,20,forward,51.51026677020997,54.720323841624015,3.2100570714140506,15,412316860416,0.412316860416,335544320,1,1,0
fwd_l15_r21,21,forward,51.51026677020997,54.720323841624015,3.2100570714140506,15,412316860416,0.412316860416,335544320,1,1,1
fwd_l15_r22,22,forward,51.51026677020997,54.720323841624015,3.2100570714140506,15,412316860416,0.412316860416,335544320,1,1,2
fwd_l15_r23,23,forward,51.51026677020997,54.720323841624015,3.2100570714140506,15,412316860416,0.412316860416,335544320,1,1,3
fwd_l8_r36,36,forward,27.91108715990016,31.287546116276147,3.3764589563759877,8,412316860416,0.412316860416,335544320,1,2,0
fwd_l8_r37,37,forward,27.91108715990016,31.287546116276147,3.3764589563759877,8,412316860416,0.412316860416,335544320,1,2,1
fwd_l8_r38,38,forward,27.91108715990016,31.287546116276147,3.3764589563759877,8,412316860416,0.412316860416,335544320,1,2,2
